plant,insect
"Actinidia deliciosa","Ceratina albosticta"
"Actinidia deliciosa","Cerceris sp."
"Actinidia deliciosa","Cetonia aurata"
"Actinidia deliciosa","Cheilosia sp."
"Actinidia deliciosa","Chloromyia sp."
"Actinidia deliciosa","Choromyia sp."
"Actinidia deliciosa","Chrysanthia sp."
"Actinidia deliciosa","Chrysotoxum festivum"
"Actinidia deliciosa","Coleoptera_sp."
"Actinidia deliciosa","Diptera"
"Actinidia deliciosa","Diptera (sp.1)"
"Actinidia deliciosa","Diptera_sp."
"Actinidia deliciosa","Epistrophe grossulariae"
"Actinidia deliciosa","Episyrphus balteatus"
"Actinidia deliciosa","Eristalinus taeniops"
"Actinidia deliciosa","Eristalis tenax"
"Actinidia deliciosa","Eupeodes corollae"
"Actinidia deliciosa","Eupeodes sp."
"Actinidia deliciosa","Euphydryas aurinia"
"Actinidia deliciosa","Forficulidae"
"Actinidia deliciosa","Formicidae"
"Actinidia deliciosa","Halictus gemmeus"
"Actinidia deliciosa","Halictus scabiosae"
"Actinidia deliciosa","Halictus smaragdulus"
"Actinidia deliciosa","Halictus sp."
"Actinidia deliciosa","Halictus sp. 278"
"Actinidia deliciosa","Halictus sp. 313"
"Actinidia deliciosa","Halictus subauratus"
"Actinidia deliciosa","Heriades truncorum"
"Actinidia deliciosa","Hoplitis cadiza"
"Actinidia deliciosa","Hoplitis sp. 125"
"Actinidia deliciosa","Hoplitis sp. 558"
"Actinidia deliciosa","Hylaeus confusus"
"Actinidia deliciosa","Hylaeus sp."
"Actinidia deliciosa","Isopoda"
"Actinidia deliciosa","Issoria lathonia"
"Actinidia deliciosa","Lasioglossum aeratum"
"Actinidia deliciosa","Lasioglossum albocinctum"
"Actinidia deliciosa","Lasioglossum angusticeps"
"Actinidia deliciosa","Lasioglossum griseolum"
"Actinidia deliciosa","Lasioglossum interruptum"
"Actinidia deliciosa","Lasioglossum leucozonium"
"Actinidia deliciosa","Lasioglossum malachurum"
"Actinidia deliciosa","Lasioglossum minutissimum"
"Actinidia deliciosa","Lasioglossum sp."
"Actinidia deliciosa","Lasioglossum sp. 24"
"Actinidia deliciosa","Lasioglossum sp. 444"
"Actinidia deliciosa","Lasioglossum sp. 738"
"Actinidia deliciosa","Lasioglossum sp. 78"
"Actinidia deliciosa","Lasioglossum strictifrons"
"Actinidia deliciosa","Lasioglossum transitorium"
"Actinidia deliciosa","Lasioglossum villosulum"
"Actinidia deliciosa","Lasioglossum zonulum"
"Actinidia deliciosa","Leptotes pirithous"
"Actinidia deliciosa","Lycaena phlaeas"
"Actinidia deliciosa","Maniola jurtina"
"Actinidia deliciosa","Melanostoma scalare"
"Actinidia deliciosa","Melanostoma sp."
"Actinidia deliciosa","Meliscaeva sp."
"Actinidia deliciosa","Melyridae"
"Actinidia deliciosa","Mycterus sp."
"Actinidia deliciosa","Nitidulidae"
"Actinidia deliciosa","Nomada distinguenda"
"Actinidia deliciosa","Nomada sp. 634"
"Actinidia deliciosa","Nomada sp. 685"
"Actinidia deliciosa","Oedemera nobilis"
"Actinidia deliciosa","Oxythyrea funesta"
"Actinidia deliciosa","Polyommatus icarus"
"Actinidia deliciosa","Pyropteron chrysidiforme"
"Actinidia deliciosa","Sarcophagidae"
"Actinidia deliciosa","Sphaerophoria scripta"
"Actinidia deliciosa","Sphecodes longulus"
"Actinidia deliciosa","Sphecodes sp. 94"
"Actinidia deliciosa","Stomorhina lunata"
"Actinidia deliciosa","Syrphus sp."
"Actinidia deliciosa","Syrphus sp. 2 (ribessi or vitripennis)"
"Actinidia deliciosa","Syrphus sp.1"
"Actinidia deliciosa","Syrrita pipiens"
"Actinidia deliciosa","Usia sp. 638"
"Actinidia deliciosa","Vespidae"
"Actinidia deliciosa","Villa sp."
"Actinidia deliciosa","Volucella zonaria"
"Actinidia deliciosa","Xylocopa violacea"
"Actinidia deliciosa","formicidae"
"Actinidia deliciosa","syrphidae"
"Allium porrum","Andrena agilissima"
"Allium porrum","Andrena albopunctata"
"Allium porrum","Andrena bicolor"
"Allium porrum","Andrena bimaculata"
"Allium porrum","Andrena carantonica"
"Allium porrum","Andrena cf. limata"
"Allium porrum","Andrena decipiens"
"Allium porrum","Andrena dorsata"
"Allium porrum","Andrena flavipes"
"Allium porrum","Andrena florea"
"Allium porrum","Andrena labialis"
"Allium porrum","Andrena lepida"
"Allium porrum","Andrena minutula"
"Allium porrum","Andrena mucida"
"Allium porrum","Andrena nigroaenea"
"Allium porrum","Andrena ovatula"
"Allium porrum","Andrena pilipes"
"Allium porrum","Andrena rosae"
"Allium porrum","Andrena sp."
"Allium porrum","Andrena sp. 4"
"Allium porrum","Andrena thoracica"
"Allium porrum","Andrena variabilis"
"Allium porrum","Andrena wilkella"
"Allium porrum","Anthidium manicatum"
"Allium porrum","Apis mellifera"
"Allium porrum","Bee sp."
"Allium porrum","Bee sp. 2"
"Allium porrum","Bee sp. 3"
"Allium porrum","Bembix rostrata"
"Allium porrum","Bembix sp. 1"
"Allium porrum","Bombus hortorum"
"Allium porrum","Bombus humilis"
"Allium porrum","Bombus hypnorum"
"Allium porrum","Bombus lapidarius"
"Allium porrum","Bombus lucorum/terrestris"
"Allium porrum","Bombus magnus"
"Allium porrum","Bombus pascuorum"
"Allium porrum","Bombus pratorum"
"Allium porrum","Bombus terrestris"
"Allium porrum","Ceratina cucurbitina"
"Allium porrum","Ceratina nigrolabiata"
"Allium porrum","Cheilosia sp. 1"
"Allium porrum","Cheilosia sp. 2"
"Allium porrum","Chrysididae sp. 1"
"Allium porrum","Chrysotoxum cautum"
"Allium porrum","Chrysotoxum festivum"
"Allium porrum","Colletes cunicularius"
"Allium porrum","Delta unguiculatus"
"Allium porrum","Episyrphus balteatus"
"Allium porrum","Eristalinus aeneus"
"Allium porrum","Eristalinus sepulchralis"
"Allium porrum","Eristalinus taeniops"
"Allium porrum","Eristalis abusiva"
"Allium porrum","Eristalis arbustorum"
"Allium porrum","Eristalis similis"
"Allium porrum","Eristalis sp."
"Allium porrum","Eristalis tenax"
"Allium porrum","Eucera clypeata"
"Allium porrum","Eupeodes corollae"
"Allium porrum","Eupeodes lapponicus"
"Allium porrum","Eupeodes latifasciatus"
"Allium porrum","Eupeodes sp."
"Allium porrum","Halictus brunnescens"
"Allium porrum","Halictus quadricinctus"
"Allium porrum","Halictus sajoi"
"Allium porrum","Halictus scabiosae"
"Allium porrum","Halictus sexcinctus"
"Allium porrum","Halictus simplex-complex"
"Allium porrum","Halictus sp."
"Allium porrum","Halictus subauratus"
"Allium porrum","Halictus vestitus"
"Allium porrum","Helophilus trivittatus"
"Allium porrum","Hylaeus communis"
"Allium porrum","Hylaeus cornutus"
"Allium porrum","Hylaeus punctulatissimus"
"Allium porrum","Hylaeus soror"
"Allium porrum","Hylaeus sp."
"Allium porrum","Lasioglossum bimaculatum"
"Allium porrum","Lasioglossum calceatum"
"Allium porrum","Lasioglossum discum"
"Allium porrum","Lasioglossum interruptum"
"Allium porrum","Lasioglossum laevigatum"
"Allium porrum","Lasioglossum laterale"
"Allium porrum","Lasioglossum laticeps"
"Allium porrum","Lasioglossum leucozonium"
"Allium porrum","Lasioglossum malachurum"
"Allium porrum","Lasioglossum pauperatum"
"Allium porrum","Lasioglossum pauxillum"
"Allium porrum","Lasioglossum pygmaeum"
"Allium porrum","Lasioglossum sexnotatum"
"Allium porrum","Lasioglossum sp."
"Allium porrum","Lasioglossum subhirtum"
"Allium porrum","Megachile pilidens"
"Allium porrum","Megascolia maculata"
"Allium porrum","Melanostoma mellinum"
"Allium porrum","Milesia crabroniformis"
"Allium porrum","Milesia sp. 1"
"Allium porrum","Myathropa florea"
"Allium porrum","Nomada fucata"
"Allium porrum","Nomada goodeniana"
"Allium porrum","Nomada melathoracica"
"Allium porrum","Nomada meridionalis"
"Allium porrum","Nomada sp."
"Allium porrum","Nomiapis bispinosa"
"Allium porrum","Nomiapis diversipes"
"Allium porrum","Osmia ligurica"
"Allium porrum","Paravespula sp."
"Allium porrum","Platycheirus"
"Allium porrum","Platycheirus sp."
"Allium porrum","Polistes bischoffi"
"Allium porrum","Polistes dominula"
"Allium porrum","Scaeva pyrastri"
"Allium porrum","Scaeva selenitica"
"Allium porrum","Sphaerophoria rueppelli"
"Allium porrum","Sphaerophoria scripta"
"Allium porrum","Sphaerophoria sp. 2"
"Allium porrum","Sphaerophoria sp.1"
"Allium porrum","Sphecodes croaticus"
"Allium porrum","Sphecodes gibbus"
"Allium porrum","Sphecodes monilicornis"
"Allium porrum","Sphecodes sp."
"Allium porrum","Sphiximorpha subsessilis"
"Allium porrum","Stip of streep fopwesp"
"Allium porrum","Syritta pipiens"
"Allium porrum","Syrphid sp."
"Allium porrum","Syrphid sp. 2"
"Allium porrum","Syrphus ribesii"
"Allium porrum","Unknown bee sp. 13"
"Allium porrum","Unknown syrphid sp. 2"
"Allium porrum","Unknown wasp sp. 11"
"Allium porrum","Unknown wasp sp. 13"
"Allium porrum","Unknown wasp sp. 14"
"Allium porrum","Unknown wasp sp. 15"
"Allium porrum","Unknown wasp sp. 16"
"Allium porrum","Unknown wasp sp. 18"
"Allium porrum","Unknown wasp sp. 19"
"Allium porrum","Unknown wasp sp. 2"
"Allium porrum","Unknown wasp sp. 20"
"Allium porrum","Unknown wasp sp. 21"
"Allium porrum","Unknown wasp sp. 25"
"Allium porrum","Unknown wasp sp. 26"
"Allium porrum","Unknown wasp sp. 3"
"Allium porrum","Unknown wasp sp. 30"
"Allium porrum","Unknown wasp sp. 5"
"Allium porrum","Unknown wasp sp. 7"
"Allium porrum","Unknown wasp sp. 9"
"Allium porrum","Vespa crabro"
"Allium porrum","Vespula sp. 1"
"Allium porrum","Wasp sp."
"Allium porrum","Xylocopa sp."
"Allium porrum","Xylocopa violacea"
"Allium porrum","bruin borststuk zwarte kont"
"Allium porrum","wesp: cf. Allodynerus floricola"
"Allium porrum","wilde bij (klein)"
"Anacardium occidentale","Ancyloscelis apiformes"
"Anacardium occidentale","Apis mellifera"
"Anacardium occidentale","Apoica pallens"
"Anacardium occidentale","Brachygastra lecheguana"
"Anacardium occidentale","Centris  byrsonimae"
"Anacardium occidentale","Centris aff. sponsa"
"Anacardium occidentale","Centris byrsonimae"
"Anacardium occidentale","Centris flavifrons"
"Anacardium occidentale","Centris spilopoda"
"Anacardium occidentale","Diptera spp."
"Anacardium occidentale","Lepidoptera spp."
"Anacardium occidentale","Melitoma aff. segmentaria"
"Anacardium occidentale","Melitomella grisescens"
"Anacardium occidentale","Mutillidae sp.1"
"Anacardium occidentale","Odonata sp.1"
"Anacardium occidentale","Odonata sp.2"
"Anacardium occidentale","Scaptotrigona sp.1"
"Anacardium occidentale","Stratiomyidae sp.2"
"Anacardium occidentale","Tiphiidae sp.4"
"Anacardium occidentale","Trigona fuscipennis"
"Anacardium occidentale","Trigona spinipes"
"Anacardium occidentale","Vespidae sp.1"
"Anacardium occidentale","Vespidae sp.2"
"Anacardium occidentale","Vespidae sp.5"
"Anacardium occidentale","Vespidae sp.6"
"Anacardium occidentale","Xylocopa cearensis"
"Anacardium occidentale","vespidae sp.1"
"Annona muricata","Camponotus sp."
"Annona muricata","Cyclocephala atricapilla"
"Annona muricata","Cyclocephala vestita"
"Annona muricata","Haptoncus ochraceus"
"Annona squamosa","Apis mellifera"
"Annona squamosa","Camponotus sp."
"Annona squamosa","Carpophilus hemipterus"
"Annona squamosa","Carpophilus sp."
"Annona squamosa","Haptoncus ochraceus"
"Annona squamosa atemoya","Coleoptera_sp."
"Bixa orellana","Augochloropsis sp."
"Bixa orellana","Euglossa sp."
"Bixa orellana","Eulaema nigrita"
"Bixa orellana","Exomalopsis analis"
"Bixa orellana","Megalopta sp."
"Bixa orellana","Melipona subnitida"
"Bixa orellana","Partamona sp."
"Bixa orellana","Trigona spinipes"
"Bixa orellana","Xylocopa frontalis"
"Bixa orellana","Xylocopa griscescens"
"Bixa orellana","Xylocopa muscaria"
"Brassica napus","A_mellifera"
"Brassica napus","Abax.parallelepipedus"
"Brassica napus","Agapostemon.sp1"
"Brassica napus","Agapostemon.virescens"
"Brassica napus","Aglais_urticae"
"Brassica napus","Agonum.muelleri"
"Brassica napus","Agonum.sexpunctatum"
"Brassica napus","Agromyzidae sp1"
"Brassica napus","Amara.aenea"
"Brassica napus","Amara.convexior"
"Brassica napus","Amara.familiaris"
"Brassica napus","Amara.montivaga"
"Brassica napus","Amara.ovata"
"Brassica napus","Amara.plebeja"
"Brassica napus","Amara.similata"
"Brassica napus","Anasimyia lineata"
"Brassica napus","Anchmenus.dorsalis"
"Brassica napus","Andrena"
"Brassica napus","Andrena bicolor"
"Brassica napus","Andrena chrysosceles"
"Brassica napus","Andrena cineraria"
"Brassica napus","Andrena distinguenda"
"Brassica napus","Andrena dorsata"
"Brassica napus","Andrena flavipes"
"Brassica napus","Andrena fucata"
"Brassica napus","Andrena fulva"
"Brassica napus","Andrena gelriae"
"Brassica napus","Andrena gravida"
"Brassica napus","Andrena haemorrhoa"
"Brassica napus","Andrena hikosana"
"Brassica napus","Andrena kaguya"
"Brassica napus","Andrena labiata"
"Brassica napus","Andrena lagopus"
"Brassica napus","Andrena luridiloma"
"Brassica napus","Andrena minutula-aggregate"
"Brassica napus","Andrena nigroaenea"
"Brassica napus","Andrena nitida"
"Brassica napus","Andrena scotica"
"Brassica napus","Andrena sp1"
"Brassica napus","Andrena sp2"
"Brassica napus","Andrena sp3"
"Brassica napus","Andrena sp4"
"Brassica napus","Andrena sp5"
"Brassica napus","Andrena sp6"
"Brassica napus","Andrena sp7"
"Brassica napus","Andrena taraxaci"
"Brassica napus","Andrena thoracica"
"Brassica napus","Andrena tibialis"
"Brassica napus","Andrena vitiosa"
"Brassica napus","Andrena.barbilabris"
"Brassica napus","Andrena.bicolor"
"Brassica napus","Andrena.carantonica"
"Brassica napus","Andrena.cineraria"
"Brassica napus","Andrena.dorsata"
"Brassica napus","Andrena.flavipes"
"Brassica napus","Andrena.fulvata"
"Brassica napus","Andrena.gravida"
"Brassica napus","Andrena.haemorrhoa"
"Brassica napus","Andrena.helvola"
"Brassica napus","Andrena.humilis"
"Brassica napus","Andrena.minutula"
"Brassica napus","Andrena.minutuloides"
"Brassica napus","Andrena.nitida"
"Brassica napus","Andrena.subopaca"
"Brassica napus","Andrena_angustior"
"Brassica napus","Andrena_barbilabris"
"Brassica napus","Andrena_carantonica"
"Brassica napus","Andrena_chrysosceles"
"Brassica napus","Andrena_cineraria"
"Brassica napus","Andrena_dorsata"
"Brassica napus","Andrena_flavipes"
"Brassica napus","Andrena_fucata"
"Brassica napus","Andrena_fulva"
"Brassica napus","Andrena_haemorrhoa"
"Brassica napus","Andrena_helvola"
"Brassica napus","Andrena_labiata"
"Brassica napus","Andrena_nigroaenea"
"Brassica napus","Andrena_nigrospina"
"Brassica napus","Andrena_nitida"
"Brassica napus","Andrena_subopaca"
"Brassica napus","Andrena_tibialis"
"Brassica napus","Andrenidae.sp1"
"Brassica napus","Andrenidae.sp2"
"Brassica napus","Anisodactylus.binotatus"
"Brassica napus","Anisodactylus.signatus"
"Brassica napus","Anthomyiidae sp1"
"Brassica napus","Anthomyiidae sp2"
"Brassica napus","Anthomyiidae sp3"
"Brassica napus","Anthomyiidae sp4"
"Brassica napus","Anthomyiidae sp5"
"Brassica napus","Anthomyiidae_sp."
"Brassica napus","Anthophora plumipes"
"Brassica napus","Anthophora.plumipes"
"Brassica napus","Ants: Formica rufa"
"Brassica napus","Aphids"
"Brassica napus","Apidae.sp1"
"Brassica napus","Apidae.sp2"
"Brassica napus","Apidae.sp3"
"Brassica napus","Apidae.sp4"
"Brassica napus","Apis cerana"
"Brassica napus","Apis melifera"
"Brassica napus","Apis mellifera"
"Brassica napus","Apis.mellifera"
"Brassica napus","Apis_mellifera"
"Brassica napus","Apoidea_sp"
"Brassica napus","Araneae"
"Brassica napus","Arctiidae"
"Brassica napus","Asaphdion.flavipes"
"Brassica napus","Athous vittatus"
"Brassica napus","Augochlora.spp."
"Brassica napus","Augochlorella.sp."
"Brassica napus","Augochloropsis.spp."
"Brassica napus","B_lapidarius"
"Brassica napus","B_lucorum"
"Brassica napus","B_terrestris"
"Brassica napus","Badister.bullatus"
"Brassica napus","Bembidion.lampros"
"Brassica napus","Bembidion.obtusum"
"Brassica napus","Bembidion.properans"
"Brassica napus","Bembidion.quadrimaculatum"
"Brassica napus","Bembidion.tetracolum"
"Brassica napus","Bibio spp. (st Marks fly)"
"Brassica napus","Bibionidae sp1"
"Brassica napus","Bibionidae sp2"
"Brassica napus","Bibionidae sp3"
"Brassica napus","Bibionidae_sp."
"Brassica napus","Bibo_hortulans"
"Brassica napus","Bibo_marci"
"Brassica napus","Bibo_varipes"
"Brassica napus","Bombus barbutellus"
"Brassica napus","Bombus hortorum"
"Brassica napus","Bombus hypnorum"
"Brassica napus","Bombus lapidarius"
"Brassica napus","Bombus lucorum"
"Brassica napus","Bombus pascuorum"
"Brassica napus","Bombus pratorum"
"Brassica napus","Bombus ruderarius"
"Brassica napus","Bombus rupestris"
"Brassica napus","Bombus spp. unknown or unidentified"
"Brassica napus","Bombus sylvarum"
"Brassica napus","Bombus terrestris"
"Brassica napus","Bombus terrestris agg."
"Brassica napus","Bombus terrestris or lucorum"
"Brassica napus","Bombus terrestris-aggregate"
"Brassica napus","Bombus terrestris/lucorum"
"Brassica napus","Bombus vestalis"
"Brassica napus","Bombus.appositus"
"Brassica napus","Bombus.bifarius"
"Brassica napus","Bombus.centralis"
"Brassica napus","Bombus.fernaldae"
"Brassica napus","Bombus.fervidus"
"Brassica napus","Bombus.griseocollis"
"Brassica napus","Bombus.insularis"
"Brassica napus","Bombus.lapidarius"
"Brassica napus","Bombus.lucorum"
"Brassica napus","Bombus.mixtus"
"Brassica napus","Bombus.nevadensis"
"Brassica napus","Bombus.occidentalis"
"Brassica napus","Bombus.pascuorum"
"Brassica napus","Bombus.pauloensis"
"Brassica napus","Bombus.pensylvanicus"
"Brassica napus","Bombus.pratorum"
"Brassica napus","Bombus.rufocinctus"
"Brassica napus","Bombus.terrestris"
"Brassica napus","Bombus.vagans"
"Brassica napus","Bombus_abuterraneus"
"Brassica napus","Bombus_hortorum"
"Brassica napus","Bombus_humilis"
"Brassica napus","Bombus_lapidarius"
"Brassica napus","Bombus_lucorum"
"Brassica napus","Bombus_lucorum_terrestris"
"Brassica napus","Bombus_pascuorum"
"Brassica napus","Bombus_pratorum"
"Brassica napus","Bombus_ruderarius"
"Brassica napus","Bombus_rupestris"
"Brassica napus","Bombus_soroeensis"
"Brassica napus","Bombus_sp"
"Brassica napus","Bombus_spp."
"Brassica napus","Bombus_subterraneus"
"Brassica napus","Bombus_sylvanum"
"Brassica napus","Bombus_sylvarum"
"Brassica napus","Bombus_terrestris"
"Brassica napus","Bombus_terrestris_aggregate"
"Brassica napus","Bombus_vestalis"
"Brassica napus","Bombylidae"
"Brassica napus","Brachinus.crepitans"
"Brassica napus","Brachinus.explodens"
"Brassica napus","Brachycera (inc cyclorrhapha in OSR)"
"Brassica napus","Calliphoridae sp1"
"Brassica napus","Calliphoridae sp2"
"Brassica napus","Calliphoridae_sp."
"Brassica napus","Cantharidae"
"Brassica napus","Cantharis fusca"
"Brassica napus","Cantharis livida"
"Brassica napus","Cantharis nigricans"
"Brassica napus","Cantharis obscura"
"Brassica napus","Cantharis pellucida"
"Brassica napus","Carabus.auratus"
"Brassica napus","Carabus.auronitens"
"Brassica napus","Carabus.granulatus"
"Brassica napus","Carabus.monilis"
"Brassica napus","Carabus.nemoralis"
"Brassica napus","Cerambycidae"
"Brassica napus","Ceratina japonica"
"Brassica napus","Ceratina okinawana"
"Brassica napus","Ceratina smaragdula"
"Brassica napus","Ceratina sp1"
"Brassica napus","Ceratina.sp1"
"Brassica napus","Ceratina.sp2"
"Brassica napus","Cheilosia albitarsis"
"Brassica napus","Cheilosia gigantea"
"Brassica napus","Cheilosia pagana"
"Brassica napus","Cheilosia vicina"
"Brassica napus","Cheilosia_vernalis"
"Brassica napus","Chelostoma florisomne"
"Brassica napus","Chironomidae_sp."
"Brassica napus","Chrysomelidae"
"Brassica napus","Chrysotoxum cautum"
"Brassica napus","Clivina.collaris"
"Brassica napus","Clivina.fossor"
"Brassica napus","Coccinelidae"
"Brassica napus","Coccinella_septempunctata"
"Brassica napus","Coccinella_sp."
"Brassica napus","Coccinellidae"
"Brassica napus","Coleoptera"
"Brassica napus","Coleoptera unknown or unidentified"
"Brassica napus","Coleoptera_sp."
"Brassica napus","Colletes.cunicularius"
"Brassica napus","Colletidae.sp1"
"Brassica napus","Common Cyclorrhapha Diptera found in OSR fields"
"Brassica napus","Corymbites sp1"
"Brassica napus","Crane flies"
"Brassica napus","Curcumelidae"
"Brassica napus","Dasysyrphus_hilaris"
"Brassica napus","Demetrias.atricapillus"
"Brassica napus","Dilophilus_febrilis"
"Brassica napus","Diptera"
"Brassica napus","Diptera unknown or unidentified"
"Brassica napus","Diptera_sp."
"Brassica napus","Dolichopodidae sp1"
"Brassica napus","Dolores haematodes"
"Brassica napus","Dolorus nitens"
"Brassica napus","Elateridae"
"Brassica napus","Empididae sp1"
"Brassica napus","Empididae_sp."
"Brassica napus","Empididea spp"
"Brassica napus","Empis_sp"
"Brassica napus","Epistrophe flava"
"Brassica napus","Epistrophe grossulariae"
"Brassica napus","Epistrophe nitidicollis"
"Brassica napus","Epistrophe.flava"
"Brassica napus","Episyrphus balteatus"
"Brassica napus","Episyrphus cretensis"
"Brassica napus","Episyrphus_balteatus"
"Brassica napus","Eristalinus sepulchralis"
"Brassica napus","Eristalis"
"Brassica napus","Eristalis abusiva"
"Brassica napus","Eristalis arbustorum"
"Brassica napus","Eristalis cerealis"
"Brassica napus","Eristalis interrupta"
"Brassica napus","Eristalis intricarius"
"Brassica napus","Eristalis lineata"
"Brassica napus","Eristalis pertinax"
"Brassica napus","Eristalis picea"
"Brassica napus","Eristalis tenax"
"Brassica napus","Eristalis.pertinax"
"Brassica napus","Eristalis.spec."
"Brassica napus","Eristalis_arbustorum"
"Brassica napus","Eristalis_interrupta"
"Brassica napus","Eristalis_intricaria"
"Brassica napus","Eristalis_pertinax"
"Brassica napus","Eristalis_similis"
"Brassica napus","Eristalis_sp."
"Brassica napus","Eristalis_tenax"
"Brassica napus","Eucera chinensis"
"Brassica napus","Eucera sp1"
"Brassica napus","Eucerini.sp1"
"Brassica napus","Eucerini.sp10"
"Brassica napus","Eucerini.sp11"
"Brassica napus","Eucerini.sp2"
"Brassica napus","Eucerini.sp3"
"Brassica napus","Eucerini.sp4"
"Brassica napus","Eucerini.sp5"
"Brassica napus","Eucerini.sp6"
"Brassica napus","Eucerini.sp7"
"Brassica napus","Eucerini.sp8"
"Brassica napus","Eucerini.sp9"
"Brassica napus","Eupeodes corollae"
"Brassica napus","Eupeodes lundbecki"
"Brassica napus","Eupeodes.latifasciatus"
"Brassica napus","Eupeodes_corollae"
"Brassica napus","Eupeodes_luniger"
"Brassica napus","Eupeodes_nitens"
"Brassica napus","Exomalopsis.spp."
"Brassica napus","Fannia spp."
"Brassica napus","Formicidae"
"Brassica napus","Gastropoda"
"Brassica napus","Gonopteryx_rhamni"
"Brassica napus","Ground beetle"
"Brassica napus","Halictini.sp1"
"Brassica napus","Halictini.sp2"
"Brassica napus","Halictini.sp3"
"Brassica napus","Halictus aerarius"
"Brassica napus","Halictus calceatus"
"Brassica napus","Halictus quadricinctus"
"Brassica napus","Halictus rubicundus"
"Brassica napus","Halictus sp1"
"Brassica napus","Halictus sp2"
"Brassica napus","Halictus tsingtouensis"
"Brassica napus","Halictus.maculatus"
"Brassica napus","Halictus.tumulorum"
"Brassica napus","Harpalus.affinis"
"Brassica napus","Harpalus.dimidiatus"
"Brassica napus","Harpalus.distinguendus"
"Brassica napus","Harpalus.rubripes"
"Brassica napus","Harpalus.rufipes"
"Brassica napus","Harpalus.signaticornis"
"Brassica napus","Heliophilus hybridus"
"Brassica napus","Heliophilus pendulus"
"Brassica napus","Heliophilus trivatlatus"
"Brassica napus","Helophilus"
"Brassica napus","Helophilus_hybridus"
"Brassica napus","Helophilus_pendulus"
"Brassica napus","Helophilus_sp"
"Brassica napus","Helophilus_trivittatus"
"Brassica napus","Hemiptera"
"Brassica napus","Hesperidae"
"Brassica napus","Heteropt"
"Brassica napus","Heteroptera_sp."
"Brassica napus","Hoverfly A"
"Brassica napus","Hoverfly unknown or unidentified"
"Brassica napus","Hylaeus floralis"
"Brassica napus","Hylaeus gredleri"
"Brassica napus","Hylaeus signatus"
"Brassica napus","Ichneumonidae sp1"
"Brassica napus","Ladybirds"
"Brassica napus","Lasioglossum albipes"
"Brassica napus","Lasioglossum calceatum"
"Brassica napus","Lasioglossum kumejimense"
"Brassica napus","Lasioglossum malachurum"
"Brassica napus","Lasioglossum morio"
